flow
"{target=""1947_ZPPS "", source=""1952_OUT"", value=101},"
"{target=""1947_PSL-NW "", source=""1952_OUT"", value=7},"
"{target=""1947_OUT"", source=""1952_OUT"", value=5229},"
"{target=""1947_OUT"", source=""1952_ "", value=337},"
"{target=""1947_PSL-L "", source=""1952_OUT"", value=1},"
"{target=""1947_PPR "", source=""1952_OUT"", value=69},"
"{target=""1947_ZPPS "", source=""1952_ "", value=26},"
"{target=""1947_SD "", source=""1952_ "", value=12},"
"{target=""1947_SP "", source=""1952_ "", value=1},"
"{target=""1947_PSL "", source=""1952_OUT"", value=25},"
"{target=""1947_SL "", source=""1952_ "", value=22},"
"{target=""1947_Katolicko-Społeczny "", source=""1952_ "", value=1},"
"{target=""1947_PSL-L "", source=""1952_ "", value=2},"
"{target=""1947_PPR "", source=""1952_ "", value=60},"
"{target=""1947_bezp. "", source=""1952_ "", value=1},"
"{target=""1947_SP "", source=""1952_OUT"", value=15},"
"{target=""1947_Katolicko-Społeczny "", source=""1952_OUT"", value=2},"
"{target=""1947_SD "", source=""1952_OUT"", value=30},"
"{target=""1947_bezp. "", source=""1952_OUT"", value=11},"
"{target=""1947_SL "", source=""1952_OUT"", value=93},"
