posel,ilosc_kadencji
Janusz Makowski,3
Franciszek Depa,3
Jerzy Zawieyski,3
Władysław Jonkisz,3
Roman Malinowski,3
Jerzy Zasada,3
Bożena Hager-Małecka,3
Tadeusz Mazowiecki,3
Janusz Zarzycki,3
Eugeniusz Szyr,3
Leon Brudziński,3
Edmund Ujma,3
Józef Olszewski,3
Bolesław Jaszczuk,3
Józef Raźny,3
Henryk Szafrański,3
Tadeusz Pyka,3
Jan Wasilkowski,3
Stanisław Hasiak,3
Franciszek Sadurski,3
Eugeniusz Stawiński,3
Tadeusz Rześniowiecki,3
Barbara Koziej-Żukowa,3
Helena Dąbska,3
Magdalena Dubiel,3
Ryszard Dziopak,3
Maria Augustyn,3
Stanisław Wais,3
Czesław Sadowski,3
Wiktor Obolewicz,3
Jerzy Szymanek,3
Michał Specjał,3
Edward Graliński,3
Stanisław Jędras,3
Kazimierz Kaniuga,3
Jerzy Łukaszewicz,3
Aleksander Schmidt,3
Józef Baron,3
Ostap Dłuski,3
Kazimierz Kwiatkowski,3
Mieczysław Jagielski,3
Wacław Rózga,3
Marian Rybicki,3
Krystyna Jandy-Jendrośka,3
Stanisław Turski,3
Józef Kijowski,3
Feliks Widy-Wirski,3
Franciszek Mleczko,3
Jerzy Nawrocki,3
Stanisław Kowalczyk,3
Zygmunt Załęski,3
Zygmunt Filipowicz,3
Bolesław Koperski,3
Stanisław Juchnicki,3
Mieczysław Serwiński,3
Mieczysław Rakowski,3
Edward Wiśniewski,3
Bernard Kus,3
Jerzy Ozdowski,3
Wacław Tułodziecki,3
Stanisław Krauss,3
Kazimierz Morawski,3
Antoni Walaszek,3
Henryk Hałas,3
Jerzy Domiński,3
Jerzy Pryma,3
Jan Kamiński,3
Julian Hochfeld,3
Wacław Auleytner,3
Grzegorz Korczyński,3
Roch Kostrzewa,3
Ryszard Hajduk,3
Jan Janowski,3
Piotr Szymanek,3
Władysław Jagusztyn,3
Stanisław Mojkowski,2
Franciszek Kaim,2
Józef Łabuz,2
Leon Poniedziałek,2
Józef Chaba,2
Włodzimierz Sawczuk,2
Jerzy Lamuzga,2
Franciszek Jakszewicz,2
Stanisław Sulima,2
Jadwiga Prawdzicowa,2
Jerzy Wojciechowski,2
Irena Piwowarska,2
Andrzej Burda,2
Jan Schneider,2
Józef Kuropieska,2
Jan Kleczaj,2
