filename,kadencja,posel,dane Data i miejce urodzenia,dane Wykształcenie,dane Ukończona szkoła,dane Zawód,dane Lista,dane Okręg wyborczy,dane Liczba głosów,dane Ślubowanie,dane Staż parlamentarny,klub,kadencja_chronologia
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/afc7a84312d28271c125793e00398dc9.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Jan Musiał,"05-02-1955, Bochnia",wyższe,"Prywatna Wyższa Szkoła Ochrony Środowiska w Radomiu, Wydział Ochrony Środowiska - inżynier",inżynier inżynierii środowiska,Platforma Obywatelska,15 Tarnów,7705,05-11-2007,brak,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b0b077099c43a3cfc125793e003991c8.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Kazimierz Michał Ujazdowski,"28-07-1964, Kielce",wyższe,"Uniwersytet Łódzki, Wydział Prawa i Administracji - mgr prawa, dr",nauczyciel akademicki,Prawo i Sprawiedliwość,3 Wrocław,73416,05-11-2007,"poseł na Sejm RP I, III, IV i V kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b2ccef3ff9cbc463c125793e00399056.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Aleksander Marek Skorupa,"12-12-1955, Brzeg Dolny",wyższe,"Politechnika Wrocławska, Wydział Podstawowych Problemów Techniki - mgr inż. matematyk",inżynier matematyk,Platforma Obywatelska,3 Wrocław,4851,05-11-2007,brak,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b2f24151a54a5f74c125793e00398bb1.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Ewa Kopacz,"03-12-1956, Skaryszew",wyższe,"Akademia Medyczna w Lublinie, Wydział Lekarski - lekarz medycyny",lekarz,Platforma Obywatelska,17 Radom,39155,05-11-2007,poseł na Sejm RP IV i V kadencji,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b317b7f7e16435e0c125793e003986ca.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Andrzej Adamczyk,"04-01-1959, Krzeszowice",średnie zawodowe,Zespół Szkół Budowlanych Krzeszowice,technik budowlany,Prawo i Sprawiedliwość,13 Kraków,3421,05-11-2007,poseł na Sejm RP V kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b329d4c3441dd948c125793e00398c1d.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Janusz Krasoń,"15-09-1956, Jawor",wyższe,"Uniwersytet Wrocławski, Wydział Nauk Przyrodniczych - mgr geografii",inspektor pracy,Lewica i Demokraci,3 Wrocław,21490,05-11-2007,poseł na Sejm RP IV i V kadencji,Klub Poselski Sojusz Lewicy Demokratycznej,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b35cee08118f43bbc125793e00398e8b.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Janusz Palikot,"26-10-1964, Biłgoraj",wyższe,"Uniwersytet Warszawski, Wydział Filozofii - mgr filozofii",przedsiębiorca,Platforma Obywatelska,6 Lublin,44186,05-11-2007,poseł na Sejm RP V kadencji,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b40c80547517d842c125793e00398a75.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Izabela Jaruga-Nowacka,"23-08-1950, Gdańsk",wyższe,"Uniwersytet Warszawski, Wydział Historyczny - mgr etnografii",etnograf,Lewica i Demokraci,26 Gdynia,14827,05-11-2007,"poseł na Sejm RP II, IV i V kadencji",Klub Poselski Lewica,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b415ed92088d6625c125793e00398ce8.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Elżbieta Łukacijewska,"25-11-1966, Jasło",wyższe,"Politechnika Rzeszowska, Wydział Zarządzania i Marketingu - mgr zarządzania",ekonomistka,Platforma Obywatelska,22 Krosno,25011,05-11-2007,poseł na Sejm RP IV i V kadencji,Klub Parlamentarny Platforma Obywatelska,2007
orka.sejm.gov.pl/ArchAll2.nsf/1934403697ebc379c125793d0048a19a/b48cb151fa92f6d9c125793e00398bf3.html,Posłowie na Sejm RP VI kadencji 2007 - 2011,Jacek Kozaczyński,"31-01-1968, Siedlce",wyższe,"Wyższa Szkoła Humanistyczna w Pułtusku, Wydział Nauk Politycznych - licencjat",samorządowiec,Platforma Obywatelska,18 Siedlce,8989,05-11-2007,brak,Klub Parlamentarny Platforma Obywatelska,2007
