posel,ilosc_kadencji,dane Lista
Małgorzata Kidawa-Błońska,4,Platforma Obywatelska
Izabela Katarzyna Mrzygłocka,4,Platforma Obywatelska
Paweł Arndt,4,Platforma Obywatelska
Tomasz Lenz,4,Platforma Obywatelska
Ryszard Zbrzyzny,4,Sojusz Lewicy Demokratycznej
Sławomir Kłosowski,4,Prawo i Sprawiedliwość
Jakub Rutnicki,4,Platforma Obywatelska
Ludwik Dorn,4,Prawo i Sprawiedliwość
Jacek Bogucki,4,Prawo i Sprawiedliwość
Jacek Osuch,4,Prawo i Sprawiedliwość
Szymon Giżyński,4,Prawo i Sprawiedliwość
Beata Szydło,4,Prawo i Sprawiedliwość
Kazimierz Smoliński,4,Prawo i Sprawiedliwość
Czesław Mroczek,4,Platforma Obywatelska
Piotr Babinetz,4,Prawo i Sprawiedliwość
Michał Jach,4,Prawo i Sprawiedliwość
Jerzy Szmajdziński,4,Sojusz Lewicy Demokratycznej
Kazimierz Gwiazdowski,4,Prawo i Sprawiedliwość
Beata Mazurek,4,Prawo i Sprawiedliwość
Bożenna Bukiewicz,4,Platforma Obywatelska
Łukasz Zbonikowski,4,Prawo i Sprawiedliwość
Alicja Olechowska,4,Platforma Obywatelska
Rafał Grupiński,4,Platforma Obywatelska
Piotr Polak,4,Prawo i Sprawiedliwość
Maria Zuba,4,Prawo i Sprawiedliwość
Maks Kraczkowski,4,Prawo i Sprawiedliwość
Jarosław Stawiarski,4,Prawo i Sprawiedliwość
Elżbieta Kruk,4,Prawo i Sprawiedliwość
Zbyszek Zaborowski,4,Sojusz Lewicy Demokratycznej
Dariusz Bąk,4,Prawo i Sprawiedliwość
Beata Małecka-Libera,4,Platforma Obywatelska
Jan Łopata,4,Polskie Stronnictwo Ludowe
Stanisław Lamczyk,4,Platforma Obywatelska
Paweł Graś,4,Platforma Obywatelska
Leszek Miller,4,Sojusz Lewicy Demokratycznej
Krzysztof Gadowski,4,Platforma Obywatelska
Aleksander Grad,4,Platforma Obywatelska
Bogdan Zdrojewski,4,Platforma Obywatelska
Aldona Młyńczak,4,Platforma Obywatelska
Robert Kołakowski,4,Prawo i Sprawiedliwość
Marek Biernacki,4,Platforma Obywatelska
Andrzej Grzyb,4,Polskie Stronnictwo Ludowe
Wiesław Janczyk,4,Prawo i Sprawiedliwość
Marek Wójcik,4,Platforma Obywatelska
Tadeusz Aziewicz,4,Platforma Obywatelska
Kazimierz Matuszny,4,Prawo i Sprawiedliwość
Tadeusz Jarmuziewicz,4,Platforma Obywatelska
Michał Wojtkiewicz,4,Prawo i Sprawiedliwość
Artur Górski,4,Prawo i Sprawiedliwość
Grzegorz Janik,4,Prawo i Sprawiedliwość
Antoni Macierewicz,4,Prawo i Sprawiedliwość
Grzegorz Tobiszowski,4,Prawo i Sprawiedliwość
Maciej Małecki,3,Prawo i Sprawiedliwość
Lidia Staroń,3,Platforma Obywatelska
Danuta Waniek,3,Sojusz Lewicy Demokratycznej
Julia Pitera,3,Platforma Obywatelska
Zbigniew Kaniewski,3,Sojusz Lewicy Demokratycznej
Małgorzata Ostrowska,3,Sojusz Lewicy Demokratycznej
Tomasz Piotr Nowak,3,Platforma Obywatelska
Barbara Blida,3,Sojusz Lewicy Demokratycznej
Michał Jaros,3,Platforma Obywatelska
Wojciech Wilk,3,Platforma Obywatelska
Paweł Poncyljusz,3,Prawo i Sprawiedliwość
Zbigniew Janowski,3,Sojusz Lewicy Demokratycznej
Czesław Cieślak,3,Polskie Stronnictwo Ludowe
Jerzy Jankowski,3,Sojusz Lewicy Demokratycznej
Agnieszka Pomaska,3,Platforma Obywatelska
Józef Rojek,3,Prawo i Sprawiedliwość
Piotr Cieśliński,3,Platforma Obywatelska
Urszula Rusecka,3,Prawo i Sprawiedliwość
Domicela Kopaczewska,3,Platforma Obywatelska
Bogdan Pęk,3,Polskie Stronnictwo Ludowe
Janusz Piechociński,3,Polskie Stronnictwo Ludowe
Mirosław Koźlakiewicz,3,Platforma Obywatelska
Edward Czesak,3,Prawo i Sprawiedliwość
Marek Rząsa,3,Platforma Obywatelska
Ewa Wolak,3,Platforma Obywatelska
Wojciech Saługa,3,Platforma Obywatelska
Janusz Zemke,3,Sojusz Lewicy Demokratycznej
Jerzy Gosiewski,3,Prawo i Sprawiedliwość
Ryszard Stanibuła,3,Polskie Stronnictwo Ludowe
Wit Majewski,3,Sojusz Lewicy Demokratycznej
Tadeusz Gajda,3,Polskie Stronnictwo Ludowe
Piotr Zgorzelski,3,Polskie Stronnictwo Ludowe
Wiesław Kaczmarek,3,Sojusz Lewicy Demokratycznej
Anna Zalewska,3,Prawo i Sprawiedliwość
Tadeusz Iwiński,3,Sojusz Lewicy Demokratycznej
Stanisław Ożóg,3,Prawo i Sprawiedliwość
Irena Nowacka,3,Sojusz Lewicy Demokratycznej
Cezary Tomczyk,3,Platforma Obywatelska
Joanna Mucha,3,Platforma Obywatelska
Jadwiga Wiśniewska,3,Prawo i Sprawiedliwość
Mirosława Nykiel,3,Platforma Obywatelska
Czesław Siekierski,3,Polskie Stronnictwo Ludowe
