posel,ilosc_kadencji,dane Lista
Halina Olendzka,2,Prawo i Sprawiedliwość
Andrzej Brachmański,2,Sojusz Lewicy Demokratycznej
Andrzej Gawron,2,Prawo i Sprawiedliwość
Zenon Kufel,2,Sojusz Lewicy Demokratycznej
Jan Kaźmierczak,2,Platforma Obywatelska
Władysław Szkop,2,Sojusz Lewicy Demokratycznej
Ryszard Kalisz,2,Sojusz Lewicy Demokratycznej
Małgorzata Sekuła-Szmajdzińska,2,Sojusz Lewicy Demokratycznej
Andrzej Olszewski,2,Sojusz Lewicy Demokratycznej
Bartłomiej Szrajber,2,Prawo i Sprawiedliwość
Romuald Ajchler,2,Sojusz Lewicy Demokratycznej
Piotr Aszyk,2,Konfederacja Polski Niepodległej
Mirosława Stachowiak-Różecka,2,Prawo i Sprawiedliwość
Tomasz Markowski,2,Prawo i Sprawiedliwość
Miron Sycz,2,Platforma Obywatelska
Marek Maciej Siwiec,2,Sojusz Lewicy Demokratycznej
Andrzej Kryj,2,Prawo i Sprawiedliwość
Agnieszka Soin,2,Prawo i Sprawiedliwość
Stanisław Piotrowicz,2,Prawo i Sprawiedliwość
Bartłomiej Dorywalski,2,Prawo i Sprawiedliwość
Arkadiusz Rybicki,2,Platforma Obywatelska
Patryk Jaki,2,Prawo i Sprawiedliwość
Józef Lassota,2,Platforma Obywatelska
Jerzy Zdrada,2,Unia Demokratyczna
Elżbieta Piela-Mielczarek,2,Sojusz Lewicy Demokratycznej
Bogdan Bojko,2,Platforma Obywatelska
Marek Plura,2,Platforma Obywatelska
Marek Lewandowski,2,Sojusz Lewicy Demokratycznej
Bartosz Arłukowicz,2,Platforma Obywatelska
Marta Kubiak,2,Prawo i Sprawiedliwość
Jacek Wojciechowicz,2,Platforma Obywatelska
Marek Zagórski,2,Prawo i Sprawiedliwość
Tadeusz Sławecki,2,Polskie Stronnictwo Ludowe
Wojciech Nowaczyk,2,Sojusz Lewicy Demokratycznej
Antoni Błądek,2,Prawo i Sprawiedliwość
Piotr Polmański,2,Unia Demokratyczna
Eugeniusz Czykwin,2,Sojusz Lewicy Demokratycznej
Olga Krzyżanowska,2,Unia Demokratyczna
Władysław Bułka,2,Sojusz Lewicy Demokratycznej
Marcin Horała,2,Prawo i Sprawiedliwość
Sławomir Nitras,2,Platforma Obywatelska
Joanna Borowiak,2,Prawo i Sprawiedliwość
Piotr Uściński,2,Prawo i Sprawiedliwość
Marek Kotlinowski,2,Liga Polskich Rodzin
Halina Murias,2,Liga Polskich Rodzin
Andrzej Liss,2,Prawo i Sprawiedliwość
Genowefa Tokarska,2,Polskie Stronnictwo Ludowe
Renata Butryn,2,Platforma Obywatelska
Władysław Frasyniuk,2,Unia Demokratyczna
Adam Żyliński,2,Platforma Obywatelska
Tomasz Garbowski,2,Sojusz Lewicy Demokratycznej
Jan Filip Libicki,2,Prawo i Sprawiedliwość
Dariusz Wójcik,2,Konfederacja Polski Niepodległej
Jan Kochanowski,2,Sojusz Lewicy Demokratycznej
Borys Budka,2,Platforma Obywatelska
Paweł Zalewski,2,Prawo i Sprawiedliwość
Krzysztof Baszczyński,2,Sojusz Lewicy Demokratycznej
Piotr Tomański,2,Platforma Obywatelska
Władysław Kosiniak-Kamysz,2,Polskie Stronnictwo Ludowe
Krystyna Sibińska,2,Platforma Obywatelska
Artur Soboń,2,Prawo i Sprawiedliwość
Iwona Guzowska,2,Platforma Obywatelska
Grzegorz Sztolcman,2,Platforma Obywatelska
Katarzyna Maria Piekarska,2,Sojusz Lewicy Demokratycznej
Sylwester Tułajew,2,Prawo i Sprawiedliwość
Anna Urbanowicz,2,Unia Demokratyczna
Janusz Palikot,2,Platforma Obywatelska
Zofia Czernow,2,Platforma Obywatelska
Daniel Milewski,2,Prawo i Sprawiedliwość
Michał Cieślak,2,Prawo i Sprawiedliwość
Seweryn Jurgielaniec,2,Sojusz Lewicy Demokratycznej
Jacek Protasiewicz,2,Platforma Obywatelska
Witold Pahl,2,Platforma Obywatelska
Zenon Durka,2,Platforma Obywatelska
Józef Mioduszewski,2,Polskie Stronnictwo Ludowe
Artur Zawisza,2,Prawo i Sprawiedliwość
Adam Słomka,2,Konfederacja Polski Niepodległej
Tadeusz Iwiński,2,Sojusz Lewicy Demokratycznej
Dariusz Lipiński,2,Platforma Obywatelska
Krzysztof Popenda,2,Konfederacja Polski Niepodległej
Marek Olewiński,2,Sojusz Lewicy Demokratycznej
Barbara Hyla-Makowska,2,Sojusz Lewicy Demokratycznej
Jan Walenty Tomaka,2,Platforma Obywatelska
Bogdan Bujak,2,Sojusz Lewicy Demokratycznej
Jacek Żalek,2,Prawo i Sprawiedliwość
Jacek Taylor,2,Unia Demokratyczna
Mariusz Orion Jędrysek,2,Prawo i Sprawiedliwość
Robert Warwas,2,Prawo i Sprawiedliwość
Jacek Tomczak,2,Platforma Obywatelska
Krzysztof Paszyk,2,Polskie Stronnictwo Ludowe
Andrzej Bętkowski,2,Prawo i Sprawiedliwość
Iwona Michałek,2,Prawo i Sprawiedliwość
Bożena Borys-Szopa,2,Prawo i Sprawiedliwość
Andrzej Mikołaj Dera,2,Prawo i Sprawiedliwość
Grzegorz Woźny,2,Sojusz Lewicy Demokratycznej
Anna Zielińska-Głębocka,2,Platforma Obywatelska
Krzysztof Szulowski,2,Prawo i Sprawiedliwość
Jerzy Ciemniewski,2,Unia Demokratyczna
Czesław Śleziak,2,Sojusz Lewicy Demokratycznej
Tomasz Zieliński,2,Prawo i Sprawiedliwość
Anna Elżbieta Sobecka,2,Prawo i Sprawiedliwość
Stanisław Zadora,2,Liga Polskich Rodzin
Tadeusz Wita,2,Prawo i Sprawiedliwość
Paweł Kowal,2,Prawo i Sprawiedliwość
Irena Tomaszak-Zesiuk,2,Platforma Obywatelska
Leszek Świętochowski,2,Polskie Stronnictwo Ludowe
Andrzej Bober,2,Unia Demokratyczna
Bożena Henczyca,2,Platforma Obywatelska
Maria Małgorzata Janyska,2,Platforma Obywatelska
Jarosław Gowin,2,Platforma Obywatelska
Roman Kosecki,2,Platforma Obywatelska
Tomasz Mirosław Dudziński,2,Prawo i Sprawiedliwość
Teresa Glenc,2,Prawo i Sprawiedliwość
Antoni Kobielusz,2,Sojusz Lewicy Demokratycznej
Andrzej Czuma,2,Platforma Obywatelska
Marek Mazurkiewicz,2,Sojusz Lewicy Demokratycznej
Jan Wyrowiński,2,Unia Demokratyczna
Jan Mosiński,2,Prawo i Sprawiedliwość
Krzysztof Borkowski,2,Polskie Stronnictwo Ludowe
Aleksandra Natalli-Świat,2,Prawo i Sprawiedliwość
Włodzimierz Bernacki,2,Prawo i Sprawiedliwość
Mariusz Witczak,2,Platforma Obywatelska
Ryszard Jacek Żochowski,2,Sojusz Lewicy Demokratycznej
Jan Kulas,2,Platforma Obywatelska
Mariusz Trepka,2,Prawo i Sprawiedliwość
Małgorzata Pępek,2,Platforma Obywatelska
Grażyna Staniszewska,2,Unia Demokratyczna
Janusz Chwierut,2,Platforma Obywatelska
Franciszek Potulski,2,Sojusz Lewicy Demokratycznej
Jerzy Rębek,2,Prawo i Sprawiedliwość
Barbara Czaplicka,2,Platforma Obywatelska
Jerzy Dziewulski,2,Sojusz Lewicy Demokratycznej
Jerzy Wilk,2,Prawo i Sprawiedliwość
Krzysztof Zaremba,2,Platforma Obywatelska
Józefa Szczurek-Żelazko,2,Prawo i Sprawiedliwość
Lidia Gądek,2,Platforma Obywatelska
Andrzej Ćwierz,2,Prawo i Sprawiedliwość
Paweł Lisiecki,2,Prawo i Sprawiedliwość
Kazimierz Sas,2,Sojusz Lewicy Demokratycznej
Zofia Grzebisz-Nowicka,2,Sojusz Lewicy Demokratycznej
Anna Krupka,2,Prawo i Sprawiedliwość
Czesław Czechyra,2,Platforma Obywatelska
Piotr Nowina-Konopka,2,Unia Demokratyczna
Leszek Bugaj,2,Polskie Stronnictwo Ludowe
Jolanta Banach,2,Sojusz Lewicy Demokratycznej
Katarzyna Matusik-Lipiec,2,Platforma Obywatelska
Stanisław Janas,2,Sojusz Lewicy Demokratycznej
Marek Łatas,2,Prawo i Sprawiedliwość
Adam Gawęda,2,Prawo i Sprawiedliwość
Tadeusz Kopeć,2,Platforma Obywatelska
Elżbieta Duda,2,Prawo i Sprawiedliwość
Eugeniusz Wycisło,2,Platforma Obywatelska
Jerzy Paul,2,Prawo i Sprawiedliwość
Roman Kaczor,2,Platforma Obywatelska
Jarosław Urbaniak,2,Platforma Obywatelska
Kazimierz Chrzanowski,2,Sojusz Lewicy Demokratycznej
Tomasz Szczypiński,2,Platforma Obywatelska
Marek Wikiński,2,Sojusz Lewicy Demokratycznej
Wanda Sokołowska,2,Sojusz Lewicy Demokratycznej
Lucjan Karasiewicz,2,Prawo i Sprawiedliwość
Iwona Śledzińska-Katarasińska,2,Unia Demokratyczna
Dominik Tarczyński,2,Prawo i Sprawiedliwość
Katarzyna Czochara,2,Prawo i Sprawiedliwość
Aleksander Kwaśniewski,2,Sojusz Lewicy Demokratycznej
Jan Byra,2,Sojusz Lewicy Demokratycznej
Krzysztof Lisek,2,Platforma Obywatelska
Radosław Gawlik,2,Unia Demokratyczna
Izabella Sierakowska,2,Sojusz Lewicy Demokratycznej
Piotr Naimski,2,Prawo i Sprawiedliwość
Mieczysław Czerniawski,2,Sojusz Lewicy Demokratycznej
Tadeusz Mazowiecki,2,Unia Demokratyczna
Janusz Dzięcioł,2,Platforma Obywatelska
Zdzisław Tuszyński,2,Sojusz Lewicy Demokratycznej
Edward Maniura,2,Platforma Obywatelska
Mariusz Grad,2,Platforma Obywatelska
Józefa Hrynkiewicz,2,Prawo i Sprawiedliwość
Krzysztof Kamiński,2,Konfederacja Polski Niepodległej
Elżbieta Gapińska,2,Platforma Obywatelska
Zygmunt Wrzodak,2,Liga Polskich Rodzin
Renata Szynalska,2,Sojusz Lewicy Demokratycznej
Ewa Szymańska,2,Prawo i Sprawiedliwość
Radosław Witkowski,2,Platforma Obywatelska
Danuta Jazłowiecka,2,Platforma Obywatelska
Marian Marczewski,2,Sojusz Lewicy Demokratycznej
Ewa Filipiak,2,Prawo i Sprawiedliwość
Stanisław Zając,2,Prawo i Sprawiedliwość
Jacek Kozaczyński,2,Platforma Obywatelska
Barbara Labuda,2,Unia Demokratyczna
Marian Piłka,2,Prawo i Sprawiedliwość
Anna Milczanowska,2,Prawo i Sprawiedliwość
Paweł Papke,2,Platforma Obywatelska
Henryk Siedlaczek,2,Platforma Obywatelska
Mirosława Masłowska,2,Prawo i Sprawiedliwość
Maciej Orzechowski,2,Platforma Obywatelska
Aleksander Chłopek,2,Prawo i Sprawiedliwość
Witold Waszczykowski,2,Prawo i Sprawiedliwość
Anna Nemś,2,Platforma Obywatelska
Piotr Kaleta,2,Prawo i Sprawiedliwość
Ewa Spychalska,2,Sojusz Lewicy Demokratycznej
Piotr Uruski,2,Prawo i Sprawiedliwość
Bronisława Kowalska,2,Sojusz Lewicy Demokratycznej
Jacek Kurski,2,Prawo i Sprawiedliwość
Tadeusz Polański,2,Polskie Stronnictwo Ludowe
Barbara Dziuk,2,Prawo i Sprawiedliwość
Romuald Ajchler,2,Sojusz Lewicy Demokratycznej
Alicja Murynowicz,2,Sojusz Lewicy Demokratycznej
Krzysztof Janusz Kozik,2,Prawo i Sprawiedliwość
Grzegorz Lorek,2,Prawo i Sprawiedliwość
Krzysztof Czarnecki,2,Prawo i Sprawiedliwość
Mirosław Pluta,2,Platforma Obywatelska
Marian Starownik,2,Polskie Stronnictwo Ludowe
Grzegorz Karpiński,2,Platforma Obywatelska
Ryszard Setnik,2,Unia Demokratyczna
Łukasz Tusk,2,Platforma Obywatelska
Bożena Kamińska,2,Platforma Obywatelska
Jerzy Pilarczyk,2,Sojusz Lewicy Demokratycznej
Jan Rokita,2,Unia Demokratyczna
Jacek Krupa,2,Platforma Obywatelska
Bogdan Rzońca,2,Prawo i Sprawiedliwość
Beata Mateusiak-Pielucha,2,Prawo i Sprawiedliwość
Marek Balicki,2,Unia Demokratyczna
Grzegorz Puda,2,Prawo i Sprawiedliwość
Sebastian Karpiniuk,2,Platforma Obywatelska
Łukasz Gibała,2,Platforma Obywatelska
Paweł Szefernaker,2,Prawo i Sprawiedliwość
Andrzej Fedorowicz,2,Liga Polskich Rodzin
Przemysław Gosiewski,2,Prawo i Sprawiedliwość
Aleksander Krawczuk,2,Sojusz Lewicy Demokratycznej
Andrzej Żelazowski,2,Sojusz Lewicy Demokratycznej
Jan Ołdakowski,2,Prawo i Sprawiedliwość
Anna Sobecka,2,Liga Polskich Rodzin
Andrzej Urbańczyk,2,Sojusz Lewicy Demokratycznej
Ewa Kozanecka,2,Prawo i Sprawiedliwość
